iter	Logloss
0	0.6912790207
1	0.6889793105
2	0.6870607259
3	0.6851999389
4	0.6834338164
5	0.6812554726
6	0.6796443968
7	0.6781841441
8	0.676916884
9	0.6747511444
10	0.6732175166
11	0.6716069561
12	0.6708235247
13	0.6687624201
14	0.6676789184
15	0.6662567204
16	0.6644479005
17	0.6625597953
18	0.6608587803
19	0.6595931808
20	0.6575486689
21	0.6558688414
22	0.6547506132
23	0.6533526721
24	0.652425643
25	0.6502598351
26	0.6489437052
27	0.6476125283
28	0.6463083607
29	0.6449098469
30	0.6438028705
31	0.6424687727
32	0.6413967973
33	0.6399042306
34	0.6388598517
35	0.6372666952
36	0.6362069739
37	0.6344729766
38	0.6331938647
39	0.6319877
40	0.6306766331
41	0.6298776173
42	0.6287598019
43	0.6278728753
44	0.6265407665
45	0.6254309175
46	0.6243970852
47	0.6233468421
48	0.6215250954
49	0.6207311573
50	0.6194765376
51	0.6182417002
52	0.616710689
53	0.6153915378
54	0.6137042022
55	0.612567522
56	0.6116082701
57	0.6096834374
58	0.6083647085
59	0.606640707
60	0.6058118409
61	0.6046261828
62	0.6033395919
63	0.6020695397
64	0.6011526718
65	0.6001775842
66	0.5997550933
67	0.5983435801
68	0.5965334045
69	0.5955059985
70	0.594661407
71	0.5935790549
72	0.5926093891
73	0.5919992344
74	0.5904567636
75	0.589354015
76	0.5883890053
77	0.5864213087
78	0.5852412238
79	0.5841742164
80	0.5833704715
81	0.5823704958
82	0.581823997
83	0.5810337911
84	0.5798934106
85	0.5791824583
86	0.5784209426
87	0.577738673
88	0.5765134825
89	0.5751850437
90	0.574235896
91	0.5733321571
92	0.5721155923
93	0.5702606921
94	0.5685008831
95	0.5680393388
96	0.567093392
97	0.5658664598
98	0.5646877667
99	0.5635338991
